class,years,gender,lists,sdoi,Missing_notes
2017,4,f,1,FALSE,FALSE
2017,6,m,0,FALSE,FALSE
2017,13,m,2,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,5,m,3,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,m,3,TRUE,FALSE
2017,13,m,2,TRUE,FALSE
2017,13,m,1,TRUE,FALSE
2017,13,m,1,TRUE,FALSE
2017,4,f,1,FALSE,FALSE
2017,7,m,0,FALSE,FALSE
2017,5,f,3,FALSE,FALSE
2017,5,m,1,FALSE,FALSE
2017,5,f,2,FALSE,FALSE
2017,7,f,3,FALSE,FALSE
2017,13,f,3,TRUE,FALSE
2017,7,f,2,FALSE,FALSE
2017,7,m,1,FALSE,FALSE
2017,7,m,3,FALSE,FALSE
2017,6,f,2,FALSE,FALSE
2017,4,f,3,FALSE,FALSE
